,k
126,0.9674282306381901
127,0.972365230112247
128,0.941426339722102
129,0.993818384843928
130,0.9740475630157852
131,0.9766453204689788
132,0.984697637371753
133,0.9916378163310507
134,0.999273041553841
135,0.9883135819742388
136,0.9643741752005334
137,0.9662671791380044
138,0.9692546987293862
139,0.9344444292699351
140,0.9975509655701484
141,0.9789357650716245
142,0.9969474003317503
143,0.992558348115857
144,0.983089078277721
145,0.9849403615265168
146,0.9732382853698139
147,0.9866699492788806
148,0.9988371963084589
149,0.985735448915025
150,0.9852005737399486
151,0.9577444786728437
152,0.95896176756743
153,0.9324440769405471
154,0.9830894109455606
155,0.9796702272642067
156,0.9744266179345641
157,0.9964450057869287
158,0.9968191645340547
159,0.9874869148329534
160,0.9699453615170262
161,0.9423694050085364
162,0.9733773361800943
163,0.9875497152014555
164,0.9755545022302466
165,0.9973511760489349
166,0.9922618428513454
167,0.984577007815972
168,0.9773593667402557
169,0.9624024986454868
170,0.9951666623795153
171,0.9865035306093116
172,0.9929229299786951
173,0.9763174894667886
174,0.9578130332502455
175,0.9997483555751505
176,0.9933635124682978
177,0.9835111888092963
178,0.9645901109477676
179,0.9869044464835199
180,0.960616863939319
181,0.9915863011880319
182,0.9820769662642426
183,0.9809660059470111
184,0.9795575113865013
185,0.9905787935786273
186,0.9852789819438244
187,0.9943869400620033
188,0.982717182494262
189,0.9930837987361959
190,0.9817307987810778
191,0.9807858655842967
192,0.9846264558893791
193,0.983172668310054
194,0.9859976923438359
195,0.9715149574831565
196,0.9668952128801297
197,0.9952466406394761
198,0.988011494810128
199,0.9646810372442793
200,0.9656877030920313
201,0.9751592971893882
202,0.9880066646104587
203,0.9667505620472553
204,0.9897741571064793
205,0.9460691376271051
206,0.990834618407573
207,0.9929344976518575
208,0.9859793451349411
209,0.9711008059028475
210,0.9734658068967418
211,0.9793953451662936
212,0.9815724933657151
213,0.9738037037036836
214,0.9608759203551194
215,0.9639242330810238
216,0.9579019353550474
217,0.9665311064042317
218,0.9919006997556045
219,0.9913381341592504
220,0.9683263751771463
221,0.9783617541560008
222,0.9505254185089698
223,0.973480301856398
224,0.9166178403451304
225,0.9808289642965362
226,0.994072265173493
227,0.9621828244753625
228,0.9710812451353825
229,0.9856838508811152
230,0.9595256075370203
231,0.9887500291516228
232,0.9937031941914891
233,0.9917427316418207
234,0.9420526538781712
235,0.9625470058672833
