,xi
617,0.010078055368152799
618,0.01646176215024774
619,0.017684058121495896
620,0.009217232801248615
621,0.02802107361050979
622,0.004937538349840445
623,0.022064697548155283
624,0.0017703616877542106
625,0.010811827426482252
626,0.02462463671244521
627,0.036930920979660636
628,0.006602173573849556
629,0.03657728963933219
630,0.03942877319689339
631,0.05126119472671595
632,0.03833247332039886
633,0.01789789882464855
634,0.03627589089885876
635,0.00250233240639512
636,0.02653602064163313
637,0.0059319171810764525
638,0.01617865094056596
639,0.07035196633238602
640,0.011838713518124863
641,0.00997669288982644
642,0.009282124426618917
643,0.044923325277175914
644,0.013638860801013362
645,0.017035464122165247
646,0.003938556311740386
647,0.013204940775232875
648,0.018401462577710526
649,0.02521208328448079
650,0.008321774075301073
651,0.0040152207944094374
652,0.046572641670832284
653,0.017160558434651727
654,0.02703789546401383
655,0.01930193901028005
656,0.042468451895045375
657,0.006351547971959996
658,0.03128546459131755
659,0.012278094158151155
660,0.013923728398813007
661,0.014445290059255256
662,0.006162518560126286
663,0.016377525847621914
664,0.00046466647031808816
665,0.014451561697565118
666,0.019492418771500538
667,0.0196349073229278
668,0.0009223102867656381
669,0.0015286392097260985
670,0.006091735070883663
671,0.034602132324552635
672,0.02555348432530086
673,0.02088939951272126
674,0.011241993233011761
675,0.02386443808463868
676,0.04472360946581427
677,0.02386539111028297
678,0.010830387257994036
679,0.0006483315848410613
680,0.03616097788660909
681,0.01737831763716915
682,0.006706402098966322
683,0.03442947605832365
684,0.03277775902188289
685,0.04263167263801427
686,0.020358505447925515
687,0.021008585891737812
688,0.009528228454105264
689,0.0125435582294183
690,0.03186301913846033
691,0.020224931237790157
692,0.057718213336694725
693,0.006878631416933246
694,0.019898885575595812
695,0.043817400094270306
696,0.011928021812051192
697,0.03432345633123054
698,0.02988441119504923
699,0.0446697312500446
700,0.03547916065579468
701,0.03308746598625322
702,0.021768684996163398
703,0.006277872418691547
704,0.015943404286734412
705,0.011185896571706112
706,0.034220125059107966
707,0.024411871861344796
708,0.006490041360785938
709,0.06309937846516614
710,0.014658899880071267
711,0.01700755145223934
712,0.01731858590347012
713,0.019271299089965624
714,0.023112662315186078
715,0.02858726733098143
716,0.03227219913817014
717,0.0006853403420422465
718,0.010885171592179782
719,0.04106537550719906
720,0.023548609983768214
721,0.0501754868513046
722,0.015602385432606102
723,0.05184434187426584
724,0.017669229794959954
725,0.006146567966621035
726,0.027720009135500715
727,0.014090016740679792
728,0.009277617884471952
729,0.018315051067559773
730,0.016202213164787826
731,0.005925675320115335
732,0.016793035109580787
733,0.012641605209529151
734,0.007201377986666705
735,0.0047691339555645425
736,0.04738774130880123
737,0.005307381433459703
738,0.0014763210344519717
739,0.012977814971535037
740,0.002284778090420877
741,0.02701574283641333
742,0.009899189594114356
743,0.049092997849667884
744,0.029862087583826753
745,0.012152873599886661
746,0.00456815257084673
747,0.04842672961473651
748,0.009677126729575953
749,0.008386381832160816
750,0.02996443995010031
751,0.030707904411349535
752,0.07834892636716836
753,0.007235711622402757
754,0.015972290380273466
755,0.008162778545083436
756,0.00868321968701953
757,0.02395503736785252
758,0.03257795183743675
759,0.01021953651573464
760,0.00846339713229826
761,0.021144679377782014
762,0.055030772807015176
763,0.006694812950737551
764,0.02318284735882896
765,0.041544789929055734
766,0.019001948043269518
767,0.013462939752936838
768,0.06110580977229554
769,0.017326602611522544
770,0.011187254112335768
771,0.0452244992321823
772,0.0031027762334290224
773,0.011204936792632375
774,0.01608113412173687
775,0.010640087038904546
776,0.013687933156502834
777,0.024581631770887347
778,0.010845556657725904
779,0.004077913495586378
780,0.012865952666846077
781,0.031010375354799544
782,0.007704239675471203
783,0.012948917799809508
784,0.005338583473724155
785,0.00840256552292358
786,0.028392024748779294
787,0.06372188356501096
788,0.016887976766208602
789,0.025387907007130693
790,0.0041835379245106176
791,0.07365652490753201
792,0.00484613750159314
793,0.015649487517810323
794,0.016855826882098378
795,0.027788492161000843
796,0.002460176664426452
797,0.02586659147552436
798,0.022080783169593318
799,0.06309959317065957
800,0.045320929657523566
801,0.007081612975837894
802,0.01653107578956447
803,0.012600737166288895
804,0.05392299050916416
805,0.01801018543772001
806,0.02430327389129967
807,0.009000141766837985
808,0.03960216406081545
809,0.017647846746107046
810,0.01527108447184099
811,0.0032359001527693665
812,0.03111173884161921
